ID,CourseNo,Section,StudentGroup,CourseType,YearSemester
175,CSE3109,B,3,Theory,31
176,CSE3107,B,3,Theory,31
177,CSE3107,B,3,Theory,31
178,HUM3115,B,3,Theory,31
179,HUM3115,B,3,Theory,31
180,CSE3103,C,3,Theory,31
181,CSE3103,C,3,Theory,31
182,HUM3115,C,3,Theory,31
183,CSE3101,C,3,Theory,31
184,CSE3109,C,3,Theory,31
185,CSE3109,C,3,Theory,31
186,CSE3107,C,3,Theory,31
187,CSE3107,C,3,Theory,31
188,HUM3115,C,3,Theory,31
189,CSE3107,C,3,Theory,31
190,CSE3103,C,3,Theory,31
191,CSE3101,C,3,Theory,31
192,CSE3101,C,3,Theory,31
193,HUM3115,C,3,Theory,31
194,CSE3109,C,3,Theory,31
195,CSE3223,A,3,Theory,32
196,CSE3213,A,3,Theory,32
197,CSE3215,A,3,Theory,32
198,CSE3211,A,3,Theory,32
199,CSE3211,A,3,Theory,32
200,CSE3213,A,3,Theory,32
201,CSE3211,A,3,Theory,32
202,CSE3215,A,3,Theory,32
203,CSE3223,A,3,Theory,32
204,CSE3223,A,3,Theory,32
205,HUM3207,A,3,Theory,32
206,HUM3207,A,3,Theory,32
207,HUM3207,A,3,Theory,32
208,CSE3213,A,3,Theory,32
209,CSE3215,A,3,Theory,32
210,HUM3207,B,3,Theory,32
211,CSE3223,B,3,Theory,32
212,CSE3213,B,3,Theory,32
213,CSE3215,B,3,Theory,32
214,CSE3211,B,3,Theory,32
215,CSE3213,B,3,Theory,32
216,CSE3223,B,3,Theory,32
217,CSE3211,B,3,Theory,32
218,CSE3211,B,3,Theory,32
219,CSE3215,B,3,Theory,32
220,HUM3207,B,3,Theory,32
221,CSE3223,B,3,Theory,32
222,CSE3213,B,3,Theory,32
223,CSE3215,B,3,Theory,32
224,HUM3207,B,3,Theory,32
225,CSE4101,A,3,Theory,41
226,CSE4129,A,3,Theory,41
227,CSE4107,A,3,Theory,41
228,CSE4101,A,3,Theory,41
229,IPE4111,A,3,Theory,41
230,CSE4125,A,3,Theory,41
231,CSE4129,A,3,Theory,41
232,IPE4111,A,3,Theory,41
233,CSE4101,A,3,Theory,41
234,CSE4125,A,3,Theory,41
235,CSE4125,A,3,Theory,41
236,CSE4129,A,3,Theory,41
237,CSE4107,A,3,Theory,41
238,IPE4111,A,3,Theory,41
239,CSE4107,A,3,Theory,41
240,CSE4107,B,3,Theory,41
241,CSE4101,B,3,Theory,41
242,CSE4129,B,3,Theory,41
243,IPE4111,B,3,Theory,41
244,CSE4107,B,3,Theory,41
245,CSE4101,B,3,Theory,41
246,CSE4107,B,3,Theory,41
247,CSE4129,B,3,Theory,41
248,CSE4125,B,3,Theory,41
249,CSE4125,B,3,Theory,41
250,CSE4101,B,3,Theory,41
251,IPE4111,B,3,Theory,41
252,IPE4111,B,3,Theory,41
253,CSE4129,B,3,Theory,41
254,CSE4125,B,3,Theory,41
255,CSE4101,C,3,Theory,41
256,IPE4111,C,3,Theory,41
257,CSE4107,C,3,Theory,41
258,CSE4125,C,3,Theory,41
259,CSE4107,C,3,Theory,41
260,CSE4129,C,3,Theory,41
261,IPE4111,C,3,Theory,41
262,CSE4125,C,3,Theory,41
263,CSE4129,C,3,Theory,41
264,IPE4111,C,3,Theory,41
265,CSE4101,C,3,Theory,41
266,CSE4129,C,3,Theory,41
267,CSE4125,C,3,Theory,41
268,CSE4101,C,3,Theory,41
269,CSE4107,C,3,Theory,41
270,CSE4255,A,3,Theory,42
271,CSE4255,A,3,Theory,42
272,CSE4213,A,3,Theory,42
273,CSE4227,A,3,Theory,42
274,CSE4213,A,3,Theory,42
275,CSE4213,A,3,Theory,42
276,CSE4203,A,3,Theory,42
277,CSE4225,A,3,Theory,42
278,CSE4255,A,3,Theory,42
279,CSE4227,A,3,Theory,42
280,CSE4225,A,3,Theory,42
281,CSE4203,A,3,Theory,42
282,CSE4227,A,3,Theory,42
283,CSE4203,A,3,Theory,42
284,CSE4225,A,3,Theory,42
285,CSE4255,B,3,Theory,42
286,CSE4213,B,3,Theory,42
287,CSE4213,B,3,Theory,42
288,CSE4213,B,3,Theory,42
289,CSE4227,B,3,Theory,42
290,CSE4255,B,3,Theory,42
291,CSE4255,B,3,Theory,42
292,CSE4203,B,3,Theory,42
293,CSE4225,B,3,Theory,42
