ID,CourseNo,Section,StudentGroup,CourseType
198,CSE3211,A,3,Theory
199,CSE3213,A,3,Theory
200,CSE3211,A,3,Theory
201,CSE3215,A,3,Theory
202,CSE3223,A,3,Theory
203,CSE3223,A,3,Theory
204,HUM3207,A,3,Theory
205,HUM3207,A,3,Theory
206,HUM3207,A,3,Theory
207,CSE3213,A,3,Theory
208,CSE3215,A,3,Theory
209,HUM3207,B,3,Theory
210,CSE3223,B,3,Theory
211,CSE3213,B,3,Theory
212,CSE3215,B,3,Theory
213,CSE3211,B,3,Theory
214,CSE3213,B,3,Theory
215,CSE3223,B,3,Theory
216,CSE3211,B,3,Theory
217,CSE3211,B,3,Theory
218,CSE3215,B,3,Theory
219,HUM3207,B,3,Theory
220,CSE3223,B,3,Theory
221,CSE3213,B,3,Theory
222,CSE3215,B,3,Theory
223,HUM3207,B,3,Theory
224,CSE4101,A,3,Theory
225,CSE4129,A,3,Theory
226,CSE4107,A,3,Theory
227,CSE4101,A,3,Theory
228,IPE4111,A,3,Theory
229,CSE4125,A,3,Theory
230,CSE4129,A,3,Theory
231,IPE4111,A,3,Theory
232,CSE4101,A,3,Theory
233,CSE4125,A,3,Theory
234,CSE4125,A,3,Theory
235,CSE4129,A,3,Theory
236,CSE4107,A,3,Theory
237,IPE4111,A,3,Theory
238,CSE4107,A,3,Theory
239,CSE4107,B,3,Theory
240,CSE4101,B,3,Theory
241,CSE4129,B,3,Theory
242,IPE4111,B,3,Theory
243,CSE4107,B,3,Theory
244,CSE4101,B,3,Theory
245,CSE4107,B,3,Theory
246,CSE4129,B,3,Theory
247,CSE4125,B,3,Theory
248,CSE4125,B,3,Theory
249,CSE4101,B,3,Theory
250,IPE4111,B,3,Theory
251,IPE4111,B,3,Theory
252,CSE4129,B,3,Theory
253,CSE4125,B,3,Theory
254,CSE4101,C,3,Theory
255,IPE4111,C,3,Theory
256,CSE4107,C,3,Theory
257,CSE4125,C,3,Theory
258,CSE4107,C,3,Theory
259,CSE4129,C,3,Theory
260,IPE4111,C,3,Theory
261,CSE4125,C,3,Theory
262,CSE4129,C,3,Theory
263,IPE4111,C,3,Theory
264,CSE4101,C,3,Theory
265,CSE4129,C,3,Theory
266,CSE4125,C,3,Theory
267,CSE4101,C,3,Theory
268,CSE4107,C,3,Theory
269,CSE4255,A,3,Theory
270,CSE4255,A,3,Theory
271,CSE4213,A,3,Theory
272,CSE4227,A,3,Theory
273,CSE4213,A,3,Theory
274,CSE4213,A,3,Theory
275,CSE4203,A,3,Theory
276,CSE4225,A,3,Theory
277,CSE4255,A,3,Theory
278,CSE4227,A,3,Theory
279,CSE4225,A,3,Theory
280,CSE4203,A,3,Theory
281,CSE4227,A,3,Theory
282,CSE4203,A,3,Theory
283,CSE4225,A,3,Theory
284,CSE4255,B,3,Theory
285,CSE4213,B,3,Theory
286,CSE4213,B,3,Theory
287,CSE4213,B,3,Theory
288,CSE4227,B,3,Theory
289,CSE4255,B,3,Theory
290,CSE4255,B,3,Theory
291,CSE4203,B,3,Theory
292,CSE4225,B,3,Theory
293,CSE4203,B,3,Theory
294,CSE4227,B,3,Theory
295,CSE4225,B,3,Theory
296,CSE4225,B,3,Theory
297,CSE4227,B,3,Theory
298,CSE4203,B,3,Theory
299,MATH2101,C,3,Theory
300,freetime,null,null,null
301,freetime,null,null,null
302,freetime,null,null,null
303,freetime,null,null,null
304,freetime,null,null,null
305,freetime,null,null,null
306,freetime,null,null,null
307,freetime,null,null,null
308,freetime,null,null,null
309,freetime,null,null,null
310,freetime,null,null,null
311,freetime,null,null,null
312,freetime,null,null,null
313,freetime,null,null,null
314,freetime,null,null,null
315,freetime,null,null,null
316,freetime,null,null,null
317,freetime,null,null,null
318,freetime,null,null,null
319,freetime,null,null,null
320,freetime,null,null,null
321,freetime,null,null,null
322,freetime,null,null,null
323,freetime,null,null,null
324,freetime,null,null,null
325,freetime,null,null,null
326,freetime,null,null,null
327,freetime,null,null,null
328,freetime,null,null,null
329,freetime,null,null,null
330,freetime,null,null,null
331,freetime,null,null,null
332,freetime,null,null,null
333,freetime,null,null,null
334,freetime,null,null,null
335,freetime,null,null,null
336,freetime,null,null,null
337,freetime,null,null,null
338,freetime,null,null,null
339,freetime,null,null,null
340,freetime,null,null,null
341,freetime,null,null,null
342,freetime,null,null,null
343,freetime,null,null,null
344,freetime,null,null,null
345,freetime,null,null,null
346,freetime,null,null,null
347,freetime,null,null,null
348,freetime,null,null,null
349,freetime,null,null,null
350,freetime,null,null,null
351,freetime,null,null,null
352,freetime,null,null,null
353,freetime,null,null,null
354,freetime,null,null,null
355,freetime,null,null,null
356,freetime,null,null,null
357,freetime,null,null,null
358,freetime,null,null,null
359,freetime,null,null,null
360,freetime,null,null,null
361,freetime,null,null,null
362,freetime,null,null,null
